股票代码,股票名称,最新价格,市盈率(PE)
000988,华工科技,82.78,45.68
000977,浪潮信息,67.21,61.94
603828,ST柯利达,5.46,161.79
688285,高铁电气,9.01,59.66
001226,拓山重工,39.09,117.41
601999,出版传媒,7.11,45.11
301006,迈拓股份,17.0,33.44
603726,朗迪集团,26.0,26.62
002501,利源股份,2.47,-75.98
300128,锦富技术,6.31,-35.68
688548,广钢气体,12.62,70.84
600469,风神股份,6.32,22.39
920895,花溪科技,24.18,-138.22
001218,丽臣实业,22.02,26.03
688216,气派科技,24.51,-22.33
000710,贝瑞基因,13.22,-85.78
002431,棕榈股份,2.48,-8.22
301045,天禄科技,26.97,98.05
603606,东方电缆,65.43,47.57
603727,博迈科,14.38,163.54
920346,威贸电子,27.42,45.26
601969,海南矿业,9.41,33.51
002638,勤上股份,2.77,-70.75
301512,智信精密,46.79,-32.12
002931,锋龙股份,16.08,114.72
300681,英搏尔,31.61,111.92
002377,国创高新,3.05,8142.6
600651,飞乐音响,9.15,498.78
002188,中天服务,6.11,53.65
920396,常辅股份,32.48,87.13
920478,峆一药业,22.47,21.87
002083,孚日股份,6.39,12.31
600791,京能置业,5.01,-5.66
600166,福田汽车,2.78,14.17
920433,大唐药业,6.7,-39.15
688693,锴威特,43.45,-48.18
688228,开普云,187.0,1671.28
688981,中芯国际,127.19,221.12
920000,安徽凤凰,20.06,28.12
300132,青松股份,6.43,60.6
920768,拾比佰,13.41,25.46
920374,云里物里,26.61,118.35
300572,安车检测,30.54,-241.5
601886,江河集团,7.87,13.6
002870,香山股份,42.17,52.57
920260,中寰股份,12.94,42.24
603168,莎普爱思,8.14,69.65
920510,丰光精密,19.42,-1190.74
300228,富瑞特装,7.62,26.53
002968,新大正,12.44,19.77
300931,通用电梯,10.17,-68.25
688046,药康生物,16.71,48.31
920427,华维设计,15.02,589.38
000875,吉电股份,5.94,14.85
603936,博敏电子,11.88,98.82
600510,黑牡丹,7.93,72.2
603268,*ST松发,52.75,39.57
000524,岭南控股,14.24,96.35
000790,华神科技,3.99,-22.69
000534,万泽股份,16.23,34.65
688627,精智达,155.38,238.79
003015,日久光电,16.85,46.18
600715,文投控股,2.57,1152.22
605050,福然德,14.26,22.91
688458,美芯晟,43.8,355.05
688700,东威科技,36.34,127.57
002535,林州重机,4.01,31.8
002008,大族激光,36.61,38.61
600135,乐凯胶片,7.44,-38.88
920108,宏海科技,15.75,48.86
688531,日联科技,69.4,69.4
688682,霍莱沃,32.43,4884.32
002344,海宁皮城,4.59,63.56
688579,山大地纬,11.48,116.11
688351,微电生理,21.25,153.06
600232,金鹰股份,6.61,-137.46
688506,百利天恒,362.78,-66.99
300211,*ST亿通,10.08,-118.25
002899,英派斯,23.91,55.79
300679,电连技术,50.87,43.48
002486,嘉麟杰,2.88,39.9
920779,武汉蓝电,41.24,55.81
920030,德众汽车,7.52,-327.38
920496,许昌智能,11.0,160.01
300816,艾可蓝,37.64,34.01
000987,越秀资本,8.41,13.54
301273,瑞晨环保,27.54,-31.51
688041,海光信息,236.9,210.55
920212,智新电子,14.81,953.46
301191,菲菱科思,96.18,152.38
002247,聚力文化,2.91,52.34
000677,恒天海龙,5.24,74.06
603890,春秋电子,12.85,30.53
301565,中仑新材,23.92,114.91
920204,沪江材料,20.13,90.4
920527,夜光明,19.23,78.92
000823,超声电子,12.83,30.0
000926,福星股份,2.64,-3.2
300172,中电环保,5.58,31.87
920971,天马新材,35.5,868.18
300730,科创信息,17.05,-40.27
688221,前沿生物-U,14.7,-28.28
920579,机科股份,25.0,-269.22
601628,中国人寿,43.99,15.19
002973,侨银股份,16.23,26.58
600397,江钨装备,7.66,-13.08
002682,龙洲股份,4.73,-20.16
920679,前进科技,22.8,86.54
002674,兴业科技,14.18,67.05
603081,大丰实业,13.32,37.42
688067,爱威科技,26.69,64.56
002119,康强电子,18.39,58.01
002106,莱宝高科,11.55,22.42
300873,海晨股份,24.1,21.35
002185,华天科技,13.09,93.32
002362,汉王科技,23.21,-50.01
603339,四方科技,13.7,30.58
601992,金隅集团,1.79,-6.39
603506,南都物业,13.43,9.7
000045,深纺织Ａ,13.73,98.69
688365,光云科技,14.61,-256.79
301323,新莱福,76.56,59.77
300813,泰林生物,32.03,143.32
300808,久量股份,29.31,-87.1
920970,大禹生物,9.58,-59.12
301107,瑜欣电子,29.01,30.36
920455,汇隆活塞,9.87,56.66
002281,光迅科技,61.42,66.54
300868,杰美特,28.2,-182.16
920519,万德股份,13.81,119.62
603799,华友钴业,62.62,21.16
300990,同飞股份,74.38,50.55
600854,春兰股份,5.39,11.79
605318,法狮龙,61.8,-510.38
300084,海默科技,9.6,-195.03
600792,云煤能源,4.81,-16.33
301228,实朴检测,27.06,-60.18
300604,长川科技,84.87,62.65
600578,京能电力,4.81,8.26
002559,亚威股份,10.51,40.89
920566,梓橦宫,12.32,25.3
300855,图南股份,28.53,68.61
688597,煜邦电力,8.73,60.98
000883,湖北能源,4.82,16.33
002851,麦格米特,75.3,118.79
920088,科力股份,35.27,57.16
301526,国际复材,6.04,49.24
600850,电科数字,28.09,88.77
301028,东亚机械,13.02,19.96
300621,维业股份,9.38,93.52
920946,森萱医药,11.19,35.17
002524,光正眼科,4.55,831.27
301505,苏州规划,23.07,262.03
300185,通裕重工,3.04,97.52
301176,逸豪新材,26.77,-149.64
600097,开创国际,11.57,50.5
301328,维峰电子,44.87,44.88
601996,丰林集团,2.44,-29.35
300909,汇创达,34.79,93.42
002683,广东宏大,40.01,30.17
000156,华数传媒,7.93,28.93
920278,鹿得医疗,10.1,88.72
688212,澳华内镜,48.9,-80.77
300411,金盾股份,13.2,192.55
600288,大恒科技,15.05,-1199.38
603112,华翔股份,17.17,15.97
600236,桂冠电力,7.36,24.42
603280,南方路机,37.7,35.38
920866,绿亨科技,9.2,50.75
605378,野马电池,24.28,103.6
002156,通富微电,40.59,74.74
920950,迅安科技,21.54,31.53
000619,海螺新材,6.15,-46.78
600959,江苏有线,3.69,45.52
920855,浙江大农,20.0,30.96
600608,*ST沪科,4.0,18834.13
688662,富信科技,44.65,96.81
300148,天舟文化,4.63,37.42
600635,大众公用,7.09,31.43
920089,禾昌聚合,18.84,19.5
001215,千味央厨,38.62,52.42
688151,华强科技,21.95,914.75
300956,英力股份,17.31,297.03
300184,力源信息,10.83,65.01
301298,东利机械,17.31,27.31
920414,欧普泰,14.24,-391.06
002593,日上集团,5.28,50.18
603153,上海建科,18.98,163.73
688007,光峰科技,18.03,-31.64
